qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3,q1_time,q2_time,q3_time
1,18,1,1,22,1,1:26.572,1:25.187,1:26.714,86572,85187,86714
2,18,9,2,4,2,1:26.103,1:25.315,1:26.869,86103,85315,86869
3,18,5,1,23,3,1:25.664,1:25.452,1:27.079,85664,85452,87079
4,18,13,6,2,4,1:25.994,1:25.691,1:27.178,85994,85691,87178
5,18,2,2,3,5,1:25.960,1:25.518,1:27.236,85960,85518,87236
6,18,15,7,11,6,1:26.427,1:26.101,1:28.527,86427,86101,88527
7,18,3,3,7,7,1:26.295,1:26.059,1:28.687,86295,86059,88687
8,18,14,9,9,8,1:26.381,1:26.063,1:29.041,86381,86063,89041
9,18,10,7,12,9,1:26.919,1:26.164,1:29.593,86919,86164,89593
23,19,13,6,2,1,1:35.347,1:34.412,1:35.748,95347,94412,95748
24,19,8,6,1,2,1:35.645,1:34.188,1:36.230,95645,94188,96230
25,19,5,1,23,3,1:35.227,1:34.759,1:36.613,95227,94759,96613
26,19,1,1,22,4,1:35.392,1:34.627,1:36.709,95392,94627,96709
27,19,15,7,11,5,1:35.205,1:34.960,1:36.711,95205,94960,96711
28,19,9,2,4,6,1:35.794,1:34.811,1:36.727,95794,94811,96727
29,19,2,2,3,7,1:35.729,1:34.648,1:36.753,95729,94648,96753
30,19,17,9,10,8,1:35.440,1:34.967,1:37.009,95440,94967,97009
31,19,4,4,5,9,1:35.983,1:35.140,1:38.450,95983,95140,98450
32,19,10,7,12,10,1:35.891,1:35.000,1:39.656,95891,95000,99656
45,20,9,2,4,1,1:32.893,1:31.745,1:33.096,92893,91745,93096
46,20,13,6,2,2,1:31.937,1:31.188,1:33.123,91937,91188,93123
47,20,1,1,22,3,1:32.750,1:31.922,1:33.292,92750,91922,93292
48,20,8,6,1,4,1:32.652,1:31.933,1:33.418,92652,91933,93418
49,20,5,1,23,5,1:33.057,1:31.718,1:33.488,93057,91718,93488
50,20,2,2,3,6,1:33.137,1:31.909,1:33.737,93137,91909,93737
51,20,15,7,11,7,1:32.493,1:32.159,1:33.994,92493,92159,93994
52,20,3,3,7,8,1:32.903,1:32.185,1:34.015,92903,92185,94015
53,20,18,11,16,9,1:32.793,1:32.362,1:35.057,92793,92362,95057
54,20,4,4,5,10,1:32.947,1:32.345,1:35.115,92947,92345,95115
67,21,8,6,1,1,1:20.701,1:20.784,1:21.813,80701,80784,81813
68,21,4,4,5,2,1:21.347,1:20.804,1:21.904,81347,80804,81904
69,21,13,6,2,3,1:21.528,1:20.584,1:22.058,81528,80584,82058
70,21,9,2,4,4,1:21.423,1:20.597,1:22.065,81423,80597,82065
71,21,1,1,22,5,1:21.366,1:20.825,1:22.096,81366,80825,82096
72,21,5,1,23,6,1:21.430,1:20.817,1:22.231,81430,80817,82231
73,21,17,9,10,7,1:21.494,1:20.984,1:22.429,81494,80984,82429
74,21,15,7,11,8,1:21.158,1:20.907,1:22.529,81158,80907,82529
75,21,2,2,3,9,1:21.466,1:20.815,1:22.542,81466,80815,82542
76,21,12,4,6,10,1:21.409,1:20.894,1:22.699,81409,80894,82699
89,22,13,6,2,1,1:25.994,1:26.192,1:27.617,85994,86192,87617
90,22,5,1,23,2,1:26.736,1:26.290,1:27.808,86736,86290,87808
91,22,1,1,22,3,1:26.192,1:26.477,1:27.923,86192,86477,87923
92,22,8,6,1,4,1:26.457,1:26.050,1:27.936,86457,86050,87936
93,22,9,2,4,5,1:26.761,1:26.129,1:28.390,86761,86129,88390
94,22,17,9,10,6,1:26.773,1:26.466,1:28.417,86773,86466,88417
95,22,4,4,5,7,1:26.836,1:26.522,1:28.422,86836,86522,88422
96,22,15,7,11,8,1:26.695,1:26.822,1:28.836,86695,86822,88836
97,22,2,2,3,9,1:27.107,1:27.607,1:28.882,87107,87607,88882
98,22,14,9,9,10,1:26.939,1:26.520,1:29.959,86939,86520,89959
109,23,13,6,2,1,1:15.190,1:15.110,1:15.787,75190,75110,75787
110,23,8,6,1,2,1:15.717,1:15.404,1:15.815,75717,75404,75815
111,23,1,1,22,3,1:15.582,1:15.322,1:15.839,75582,75322,75839
112,23,5,1,23,4,1:15.295,1:15.389,1:16.165,75295,75389,76165
113,23,9,2,4,5,1:15.977,1:15.483,1:16.171,75977,75483,76171
114,23,3,3,7,6,1:15.935,1:15.287,1:16.548,75935,75287,76548
115,23,4,4,5,7,1:16.646,1:15.827,1:16.852,76646,75827,76852
116,23,15,7,11,8,1:16.306,1:15.598,1:17.203,76306,75598,77203
117,23,17,9,10,9,1:16.074,1:15.745,1:17.343,76074,75745,77343
129,24,1,1,22,1,1:16.909,1:17.034,1:17.886,76909,77034,77886
130,24,9,2,4,2,1:17.471,1:17.679,1:18.498,77471,77679,78498
131,24,8,6,1,3,1:17.301,1:17.364,1:18.735,77301,77364,78735
132,24,4,4,5,4,1:17.415,1:17.488,1:18.746,77415,77488,78746
133,24,3,3,7,5,1:17.991,1:17.891,1:18.844,77991,77891,78844
134,24,13,6,2,6,1:17.231,1:17.353,1:19.048,77231,77353,79048
135,24,5,1,23,7,1:17.287,1:17.684,1:19.089,77287,77684,79089
136,24,2,2,3,8,1:18.082,1:17.781,1:19.633,78082,77781,79633
137,24,22,11,17,9,1:18.256,1:18.020,1:20.848,78256,78020,80848
149,25,8,6,1,1,1:15.133,1:15.161,1:16.449,75133,75161,76449
150,25,13,6,2,2,1:15.024,1:15.041,1:16.490,75024,75041,76490
151,25,1,1,22,3,1:15.634,1:15.293,1:16.693,75634,75293,76693
152,25,4,4,5,4,1:15.754,1:15.483,1:16.840,75754,75483,76840
153,25,15,7,11,5,1:15.521,1:15.362,1:16.920,75521,75362,76920
154,25,5,1,23,6,1:15.965,1:15.639,1:16.944,75965,75639,76944
155,25,9,2,4,7,1:15.687,1:15.723,1:17.037,75687,75723,77037
156,25,17,9,10,8,1:16.020,1:15.488,1:17.233,76020,75488,77233
157,25,14,9,9,9,1:15.802,1:15.654,1:17.426,75802,75654,77426
158,25,10,7,12,10,1:15.727,1:15.558,1:17.596,75727,75558,77596
169,26,5,1,23,1,1:19.957,1:19.597,1:21.049,79957,79597,81049
170,26,17,9,10,2,1:20.982,1:19.710,1:21.554,80982,79710,81554
171,26,8,6,1,3,1:20.370,1:19.971,1:21.706,80370,79971,81706
172,26,1,1,22,4,1:20.288,1:19.537,1:21.835,80288,79537,81835
173,26,2,2,3,5,1:21.022,1:19.802,1:21.873,81022,79802,81873
174,26,4,4,5,6,1:20.998,1:19.992,1:22.029,80998,79992,82029
175,26,12,4,6,7,1:20.818,1:20.115,1:22.491,80818,80115,82491
176,26,20,5,15,8,1:20.318,1:20.109,1:23.251,80318,80109,83251
